,latitude,longitude,Sales Amount (Actual),Distributors,Off premise,On premise,Others,cluster_group
581,40.7313,-73.9892,6.182084906716632,0,0,1,0,0
582,40.7484,-73.9967,8.431199478249262,0,0,1,0,0
583,40.7101,-74.0013,9.137770754409587,0,0,1,0,3
584,40.7313,-73.9892,11.143975490155883,0,0,1,0,3
585,40.7313,-73.9892,8.263590432617319,0,0,1,0,0
587,40.7402,-73.9996,6.565264970035361,0,0,1,0,0
589,40.7101,-74.0013,6.71901315438526,0,0,1,0,0
590,40.7185,-74.0025,5.537334267018537,0,0,1,0,0
591,40.7339,-74.0054,9.864695787371502,0,0,1,0,3
592,40.7402,-73.9996,11.76293682240074,0,0,1,0,3
593,40.7262,-73.9796,8.075893630298857,0,0,1,0,0
595,40.7143,-74.006,7.930925372483388,0,0,1,0,0
596,40.7139,-74.007,8.786303878282583,0,0,1,0,0
597,40.7339,-74.0054,7.1049654482698426,0,0,1,0,0
598,40.7185,-74.0025,7.221105098182496,0,0,1,0,0
599,40.7484,-73.9967,9.82032331127536,0,0,1,0,3
600,40.7339,-74.0054,7.564238475170491,0,0,1,0,0
601,40.7313,-73.9892,8.183118079394745,0,0,1,0,0
602,40.7262,-73.9796,8.60922527686273,0,0,1,0,0
603,40.7484,-73.9967,6.859950629033997,0,0,1,0,0
604,40.7185,-74.0025,10.959488051511292,0,0,1,0,3
607,40.7402,-73.9996,10.80511124736688,0,0,1,0,3
608,40.7339,-74.0054,11.6311702606657,0,0,1,0,3
609,40.7262,-73.9796,8.54188580400661,0,0,1,0,0
610,40.7255,-73.9983,6.313548046277095,0,0,1,0,0
611,40.7185,-74.0025,8.11969625295725,0,0,1,0,0
612,40.7402,-73.9996,9.185842740375783,0,0,1,0,3
614,40.7313,-73.9892,10.025705185260378,0,0,1,0,3
615,40.7152,-73.9877,8.014335737299424,0,0,1,0,0
616,40.7402,-73.9996,5.817111159963204,0,0,1,0,0
617,40.7056,-74.0083,7.884576510596324,0,0,1,0,0
618,40.7484,-73.9967,8.1886891244442,0,0,1,0,0
619,40.7402,-73.9996,8.764781129393361,0,0,1,0,0
620,40.7402,-73.9996,9.631349378652292,0,0,1,0,3
621,40.7255,-73.9983,8.821142236331891,0,0,1,0,0
622,40.7313,-73.9892,10.200921916430588,0,0,1,0,3
623,40.7339,-74.0054,10.20661017873012,0,0,1,0,3
624,40.7143,-74.006,10.19204424239857,0,0,1,0,3
625,40.7101,-74.0013,8.660773919893762,0,0,1,0,0
626,40.7339,-74.0054,10.053974385810065,0,0,1,0,3
627,40.7339,-74.0054,6.246106765481563,0,0,1,0,0
628,40.7255,-73.9983,11.113253543902827,0,0,1,0,3
629,40.7339,-74.0054,8.65108926753565,0,0,1,0,0
630,40.7402,-73.9996,10.565670501200785,0,0,1,0,3
631,40.7313,-73.9892,6.802394763324311,0,0,1,0,0
632,40.7255,-73.9983,6.1903154058531475,0,0,1,0,0
634,40.7339,-74.0054,9.301003406873425,0,0,1,0,3
635,40.7185,-74.0025,7.804659297056102,0,0,1,0,0
636,40.7313,-73.9892,8.622633703874234,0,0,1,0,0
637,40.7402,-73.9996,10.057923905840546,0,0,1,0,3
638,40.7313,-73.9892,9.060911858484253,0,0,1,0,3
639,40.7402,-73.9996,9.480672806092851,0,0,1,0,3
640,40.7262,-73.9796,10.588148829445775,0,0,1,0,3
641,40.7402,-73.9996,9.725028725785435,0,0,1,0,3
642,40.7152,-73.9877,6.570882962339584,0,0,1,0,0
643,40.7255,-73.9983,9.564863001346772,0,0,1,0,3
644,40.7101,-74.0013,8.03398273468322,0,0,1,0,0
645,40.7255,-73.9983,7.517520850603031,0,0,1,0,0
646,40.7255,-73.9983,8.34283980427146,0,0,1,0,0
647,40.7255,-73.9983,7.67786350067821,0,0,1,0,0
648,40.7255,-73.9983,10.809323826506423,0,0,1,0,3
649,40.7185,-74.0025,11.774779368456477,0,0,1,0,3
650,40.7313,-73.9892,8.681350777582521,0,0,1,0,0
651,40.7185,-74.0025,8.989194823324645,0,0,1,0,3
652,40.7313,-73.9892,8.643471594589247,0,0,1,0,0
653,40.7185,-74.0025,6.866933284461882,0,0,1,0,0
655,40.7402,-73.9996,8.628376720376853,0,0,1,0,0
657,40.7402,-73.9996,6.579251212010101,0,0,1,0,0
658,40.7402,-73.9996,6.784457062637643,0,0,1,0,0
660,40.7313,-73.9892,9.445254378889308,0,0,1,0,3
661,40.7313,-73.9892,8.150840136711944,0,0,1,0,0
662,40.7484,-73.9967,9.036463061964891,0,0,1,0,3
663,40.7255,-73.9983,7.272398392570047,0,0,1,0,0
664,40.7484,-73.9967,11.858324382810032,0,0,1,0,3
665,40.7313,-73.9892,9.693135588909087,0,0,1,0,3
666,40.7255,-73.9983,10.09340518595171,0,0,1,0,3
667,40.7313,-73.9892,10.886239955109703,0,0,1,0,3
668,40.7339,-74.0054,10.22714010994436,0,0,1,0,3
669,40.7313,-73.9892,9.959879228062924,0,0,1,0,3
671,40.7255,-73.9983,10.45363003867907,0,0,1,0,3
672,40.7313,-73.9892,10.539976547062507,0,0,1,0,3
673,40.7484,-73.9967,9.850192255477904,0,0,1,0,3
674,40.7402,-73.9996,6.455198563340122,0,0,1,0,0
675,40.7402,-73.9996,6.57649742381348,0,0,1,0,0
676,40.7339,-74.0054,7.67786350067821,0,0,1,0,0
678,40.7402,-73.9996,8.016977746762262,0,0,1,0,0
679,40.7152,-73.9877,8.561592778712923,0,0,1,0,0
681,40.7484,-73.9967,9.531046110875145,0,0,1,0,3
682,40.7262,-73.9796,6.899723107284872,0,0,1,0,0
683,40.7152,-73.9877,9.425854089999014,0,0,1,0,3
684,40.7313,-73.9892,8.352790135124629,0,0,1,0,0
685,40.7339,-74.0054,6.866933284461882,0,0,1,0,0
688,40.7185,-74.0025,7.559038255443384,0,0,1,0,0
689,40.7139,-74.007,6.612041034833092,0,0,1,0,0
690,40.7255,-73.9983,10.769663242978435,0,0,1,0,3
691,40.7255,-73.9983,8.808817483100642,0,0,1,0,0
692,40.7484,-73.9967,10.573826593770065,0,0,1,0,3
693,40.7402,-73.9996,8.133696011705718,0,0,1,0,0
694,40.7101,-74.0013,5.598421958998375,0,0,1,0,0
695,40.7185,-74.0025,10.025646333971151,0,0,1,0,3
696,40.7402,-73.9996,11.313725587325052,0,0,1,0,3
697,40.7484,-73.9967,11.087834166999885,0,0,1,0,3
698,40.7402,-73.9996,8.53070154144103,0,0,1,0,0
699,40.7185,-74.0025,6.813807171136497,0,0,1,0,0
700,40.7402,-73.9996,8.896177422274805,0,0,1,0,0
701,40.7339,-74.0054,7.138866999945524,0,0,1,0,0
702,40.7339,-74.0054,7.200424892944957,0,0,1,0,0
703,40.7255,-73.9983,6.9584483932976555,0,0,1,0,0
704,40.7402,-73.9996,9.131658571181987,0,0,1,0,3
