,component_1_scaled,component_2_scaled,cluster_group,component_1,component_2,latitude,longitude,Sales Amount (Actual),Distributors,Off premise,On premise,Others,No_
37,-0.10661546282688111,-0.16558698081033826,1,-87829.21572448061,-0.8079334551377849,40.7152,-73.9877,0.0,0,0,1,0,2FALAI
38,-0.0830243808551369,-0.16814446403388852,1,-68395.01572448011,-0.8204119498065571,40.7185,-74.0025,19434.2,0,0,1,0,2FILLI
39,-0.08754264443319772,-0.16791822871068202,1,-72117.13572448364,-0.819308100425054,40.7255,-73.9983,15712.080000000002,0,0,1,0,2FIVE
40,-0.01020244402172531,-0.18626573690098966,1,-8404.715724548014,-0.9088294239785211,40.7255,-73.9983,79424.5,0,0,1,0,2FOR2
41,-0.09429442661170602,-0.16850991495930986,1,-77679.21572449086,-0.822195061180495,40.7152,-73.9877,10150.0,0,0,1,0,2FRANY
42,-0.06400045815986666,-0.17203081569503773,1,-52723.21572449495,-0.8393742710597549,40.7339,-74.0054,35106.0,0,0,1,0,2FRS
43,-0.10661546282688246,-0.16524560072362718,1,-87829.21572448172,-0.8062677904120802,40.7313,-73.9892,0.0,0,0,1,0,2FTCLE
44,-0.10406709623005865,-0.16370067020880627,1,-85729.88572447101,-0.7987297518375577,40.7402,-73.9996,2099.33,0,0,1,0,2GONZO
45,-0.06031507235208365,-0.1762294976999893,1,-49687.215724520254,-0.8598605172772085,40.7313,-73.9892,38142.0,0,0,1,0,2GOTBA
46,-0.08914592078805753,-0.16669224379837053,1,-73437.90572447501,-0.8133262640433331,40.7185,-74.0025,14391.31,0,0,1,0,2ILMA
47,-0.0790551863510589,-0.16845936453094448,1,-65125.21572448242,-0.8219484150852038,40.7339,-74.0054,22704.0,0,0,1,0,2INORE
48,-0.09668822793352796,-0.16957819461710197,1,-79651.21572450246,-0.8274074206954135,40.7262,-73.9796,8178.0,0,0,1,0,2INVIN
49,-0.10294464376137889,-0.16426439399965903,1,-84805.21572447084,-0.8014802779227498,40.7255,-73.9983,3024.0,0,0,1,0,2ITREM
50,-0.1037555257507037,-0.1634900119700532,1,-85473.21572446285,-0.7977019063037113,40.7101,-74.0013,2356.0,0,0,1,0,2KEG
51,-0.08855367346205438,-0.1676783810856578,1,-72950.0157244828,-0.8181378337806349,40.7255,-73.9983,14879.2,0,0,1,0,2LANT
52,-0.08034093200120919,-0.17147873907801164,1,-66184.4057245036,-0.8366805739676777,40.7313,-73.9892,21644.81,0,0,1,0,2LAP
53,-0.09386227992275405,-0.1649466600236385,1,-77323.21572447011,-0.8048091963158464,40.7339,-74.0054,10506.0,0,0,1,0,2LCM
54,-0.10229399593761773,-0.16661216756603667,1,-84269.21572448421,-0.8129355553852773,40.7152,-73.9877,3560.0,0,0,1,0,2LIT
55,-0.10433333986286245,-0.16246259795772433,1,-85949.21572446139,-0.7926889388060516,40.7339,-74.0054,1880.0,0,0,1,0,2MADI
56,-0.09953602605771408,-0.16477558140189413,1,-81997.2157244748,-0.8039744679978968,40.7402,-73.9996,5832.0,0,0,1,0,2MAHOT
57,-0.10265976683735864,-0.16618401521156526,1,-84570.53572448502,-0.8108465106464903,40.7313,-73.9892,3258.6800000000003,0,0,1,0,2MAL
58,-0.10552295715262186,-0.16393206181467498,1,-86929.21572447554,-0.7998587597988389,40.7484,-73.9967,900.0,0,0,1,0,2MANHA
